family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9
1,1,48,88,,,,,,
1,74,60,53,38,2,,,,
1,3,79,,,,,,,
1,63,64,24,,,,,,
1,27,14,7,,,,,,
1,70,61,56,35,81,,,,
1,75,33,45,52,9,42,67,,
1,8,89,97,57,10,65,71,76,22
1,11,90,,,,,,,
1,12,16,94,,,,,,
1,13,36,83,,,,,,
1,4,15,54,87,80,,,,
1,17,47,,,,,,,
1,19,34,51,86,84,,,,
1,18,98,25,30,62,29,,,
1,23,39,,,,,,,
1,26,44,95,69,72,91,,,
1,28,55,58,68,6,77,,,
1,31,41,50,,,,,,
1,32,43,82,96,85,78,73,,
1,93,5,46,21,37,59,66,40,20
1,49,92,,,,,,,
