family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21
1,22,1,14,97,92,5,98,13,97,5,132,13,132,,,,,,,,
1,123,25,123,25,96,22,96,1,14,27,92,98,28,28,120,27,120,,,,
1,33,110,33,80,80,72,72,106,31,71,64,2,128,68,31,,,,,,
1,8,8,18,127,105,3,82,39,39,110,2,64,71,50,106,125,128,60,50,125,
1,18,3,105,87,82,127,55,87,40,40,83,68,60,,,,,,,,
2,30,30,4,47,115,29,119,124,113,55,113,77,77,15,9,15,9,83,,,
2,118,32,4,47,115,29,119,95,53,53,124,57,19,57,19,49,17,49,17,,
1,102,129,32,129,95,6,74,74,23,130,58,62,130,111,,,,,,,
1,102,41,38,38,112,118,34,34,6,23,58,100,62,100,111,,,,,,
3,104,45,104,45,107,41,116,107,116,112,51,51,7,44,61,70,48,122,48,122,61
1,85,20,84,84,79,11,79,11,63,42,70,44,7,10,63,42,86,10,86,,
1,46,36,20,121,46,36,103,101,54,12,117,59,52,73,73,121,35,59,,,
1,43,43,76,12,54,101,103,117,85,52,108,,,,,,,,,,
2,69,65,65,89,126,89,76,16,108,21,78,99,109,88,75,56,56,,,,
2,94,69,131,94,66,66,126,88,67,67,16,21,78,99,109,35,75,91,,,
1,131,37,37,24,26,81,90,93,114,91,,,,,,,,,,,
1,24,26,81,90,93,114,,,,,,,,,,,,,,,
