family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22
1,67,228,58,161,27,229,10,1,90,130,160,190,168,,,,,,,,,
2,7,240,86,237,78,159,2,14,18,217,21,56,212,221,37,87,31,,,,,
2,54,33,72,211,169,48,71,234,199,102,95,3,55,68,81,136,114,17,153,26,,
1,170,223,140,177,40,36,4,179,8,186,213,52,132,80,34,,,,,,,
2,5,44,74,233,88,69,116,124,164,101,66,174,178,208,47,46,216,63,202,,,
1,207,93,232,182,230,218,6,83,39,139,158,77,,,,,,,,,,
1,96,53,195,133,192,214,205,135,123,9,91,121,151,180,142,236,,,,,,
1,11,64,79,137,166,94,204,23,198,155,112,163,19,,,,,,,,,
2,175,12,59,131,154,219,225,25,231,89,107,104,38,220,197,65,50,227,28,173,98,
1,134,119,85,29,138,125,118,185,111,149,100,13,43,99,145,189,239,,,,,
2,42,238,222,193,176,32,194,165,103,75,15,30,35,122,126,150,183,152,235,187,51,144
1,70,57,110,16,127,129,41,147,167,171,215,209,143,184,82,181,76,226,,,,
1,92,73,20,24,113,128,148,172,156,206,201,,,,,,,,,,,
2,188,162,108,105,97,196,191,60,22,84,120,141,146,200,,,,,,,,
1,45,62,115,203,210,224,,,,,,,,,,,,,,,,
2,49,61,106,109,117,157,,,,,,,,,,,,,,,,
