family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19
2,18,2,14,49,16,127,284,10,229,90,1,241,79,160,315,242,33,,
2,28,199,7,136,206,234,48,13,264,43,9,99,91,178,144,50,185,288,117
1,40,59,138,244,259,169,280,67,300,294,41,282,17,114,,,,,
2,66,207,310,128,236,152,180,151,177,34,322,320,273,296,,,,,
2,86,265,237,116,81,52,119,226,269,235,157,306,,,,,,,
3,105,297,96,53,293,251,224,115,203,228,304,153,120,22,84,45,109,181,
2,107,188,222,129,231,164,133,195,243,171,305,98,318,,,,,,
2,108,162,30,303,95,150,122,126,55,200,252,68,,,,,,,
2,110,295,278,240,270,37,183,277,104,38,57,227,247,,,,,,
1,118,299,21,221,56,212,101,230,25,132,,,,,,,,,
1,145,189,239,149,71,275,172,26,250,182,176,215,,,,,,,
1,146,69,166,140,218,186,4,8,213,,,,,,,,,,
2,167,5,124,268,130,202,198,42,302,63,201,,,,,,,,
2,170,311,159,254,70,73,283,290,216,261,286,179,102,260,75,158,208,,
1,174,232,173,272,100,111,83,121,27,161,36,175,,,,,,,
1,217,72,88,233,54,323,253,211,125,184,314,82,191,76,168,163,,,
1,246,85,134,301,190,147,93,266,274,123,267,291,285,312,31,74,19,,
1,214,205,135,255,210,245,58,80,,,,,,,,,,,
2,256,193,15,32,262,3,238,257,258,143,209,51,223,316,112,155,,,
2,276,62,196,292,137,192,78,263,20,142,39,139,,,,,,,
2,289,154,12,44,271,204,64,11,60,94,281,6,89,225,321,141,,,
2,298,197,23,65,220,35,187,,,,,,,,,,,,
2,279,156,319,148,113,24,131,309,307,92,287,308,61,106,87,97,249,77,
2,317,165,29,103,194,313,46,47,219,248,,,,,,,,,
