family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26
2,175,345,93,345,93,6,6,293,70,4,293,10,10,264,264,4,1,90,140,363,208,61,13,13,61,237
1,292,279,299,373,208,1,90,140,363,373,34,,,,,,,,,,,,,,,
3,402,118,118,357,70,2,18,380,389,318,36,249,34,249,,,,,,,,,,,,
3,161,161,292,142,299,357,2,18,380,261,261,305,389,39,39,318,36,122,122,,,,,,,
2,174,402,3,5,125,268,350,142,57,241,382,326,326,134,119,119,305,15,134,15,361,237,,,,
1,407,174,407,3,5,125,268,350,226,241,382,367,,,,,,,,,,,,,,
1,114,114,226,320,7,59,115,224,251,298,397,404,367,,,,,,,,,,,,,
1,16,175,14,320,7,59,115,224,251,298,397,354,404,26,136,176,176,113,149,149,,,,,,
1,356,354,16,356,236,14,17,17,8,49,186,387,26,260,,,,,,,,,,,,
1,32,188,32,136,236,8,260,49,186,387,29,393,29,31,,,,,,,,,,,,
2,267,188,9,401,11,64,94,302,204,286,393,378,50,302,286,31,168,113,347,347,,,,,,
3,54,54,267,401,9,11,64,94,71,362,362,46,204,378,47,46,47,223,168,50,307,109,,,,
3,374,245,374,245,96,57,71,12,60,271,289,304,352,353,137,294,137,270,270,223,307,109,361,,,
1,225,336,96,360,336,60,12,271,289,304,352,353,82,274,272,80,80,294,,,,,,,,
1,391,100,381,92,381,287,92,274,272,82,19,369,285,239,385,89,,,,,,,,,,
1,377,370,391,360,100,102,368,368,287,385,89,392,19,239,285,369,,,,,,,,,,
2,105,297,105,370,20,98,265,329,348,331,111,297,179,102,147,210,179,392,153,73,,,,,,
1,20,98,348,331,265,329,127,232,337,147,337,127,111,324,210,,,,,,,,,,,
3,198,198,199,199,159,159,343,343,377,232,21,23,65,197,220,269,384,158,278,158,278,73,228,,,
2,276,110,342,229,74,30,342,229,74,30,183,21,23,65,197,220,269,384,340,324,33,153,228,,,
1,222,276,22,366,81,216,244,403,386,366,340,218,218,33,181,,,,,,,,,,,
1,321,225,222,321,22,386,81,216,244,403,52,183,52,143,279,346,181,,,,,,,,,
2,24,191,376,295,301,309,319,358,40,37,37,376,110,35,35,143,133,40,202,275,104,104,,,,
3,48,24,191,295,301,309,319,45,146,358,68,284,202,42,133,284,112,42,112,120,243,275,,,,
2,207,246,85,48,246,58,85,146,68,45,203,84,25,121,62,388,388,346,394,170,120,215,,,,
1,66,66,207,58,379,291,247,25,106,106,84,203,215,394,,,,,,,,,,,,
1,379,62,160,27,101,128,160,231,355,,,,,,,,,,,,,,,,,
1,124,327,182,124,312,291,247,312,27,101,121,128,231,355,330,164,164,,,,,,,,,
3,108,327,182,75,78,75,28,131,252,132,156,234,341,330,252,152,152,351,263,178,53,148,148,,,
1,78,28,263,131,132,156,234,341,338,154,351,178,,,,,,,,,,,,,,
1,349,349,116,162,108,155,162,338,154,273,38,144,95,227,230,242,277,273,95,398,,,,,,
2,266,167,266,167,150,233,116,173,233,173,313,313,38,144,227,230,242,277,117,398,53,243,170,,,
3,310,189,310,217,189,257,130,257,130,41,165,325,194,317,406,325,157,117,157,171,171,,,,,
1,211,217,365,206,41,212,165,194,123,317,406,253,123,,,,,,,,,,,,,
1,365,155,383,255,212,383,255,43,55,99,163,185,187,201,,,,,,,,,,,,
1,395,190,323,190,315,206,315,43,55,99,163,185,187,201,,,,,,,,,,,,
1,195,44,56,395,253,211,44,129,334,328,145,300,335,300,323,334,328,396,335,145,396,221,,,,
3,308,195,103,76,308,103,97,76,177,200,280,51,51,129,405,200,280,405,63,221,141,141,371,371,,
1,126,97,79,56,67,400,209,67,322,151,63,151,177,322,209,,,,,,,,,,,
1,339,281,281,86,86,172,69,235,126,79,256,282,283,400,333,399,87,77,,,,,,,,
1,238,172,69,235,192,256,282,283,219,333,258,390,219,390,399,,,,,,,,,,,
1,339,238,344,311,150,72,88,192,107,250,240,254,87,77,296,,,,,,,,,,,
1,72,88,248,248,139,138,107,250,359,240,254,184,314,359,138,258,314,296,,,,,,,,
1,169,139,214,213,205,135,83,372,180,288,290,332,375,316,,,,,,,,,,,,
1,169,83,135,205,213,184,180,214,288,290,306,306,316,375,,,,,,,,,,,,
1,344,311,91,166,259,193,196,262,372,364,303,332,,,,,,,,,,,,,,
1,91,166,259,193,196,262,303,364,,,,,,,,,,,,,,,,,,
